2531/3669	O
ย่อสั้น	O
โจทก์บรรยายฟ้องกล่าวหาว่าจำเลยที่	O
1	O
ถึงที่	O
3	O
จงใจไม่ปฏิบัติหน้าที่ตามระเบียบแบบแผน	O
ไม่ควบคุมดูแลการรับเงินและการส่งเงินจนเป็นเหตุให้จำเลยที่	O
4	O
ยักยอกเงินของโจทก์ไปได้และทำให้โจทก์เสียหาย	O
เป็นการฟ้องโดยอาศัยมูลละเมิดและเรียกค่าสินไหมทดแทน	O
โจทก์ย่อมมีสิทธิฟ้องได้	O
โจทก์ฟ้องจำเลยที่	O
1	O
ถึงที่	O
3	O
โดยมูลละเมิดทั่วไป	O
มิใช่มูลละเมิดอันเป็นความผิดมีโทษทางอาญา	O
จึงมีอายุความ	O
1	O
ปี	O
ตามประมวลกฎหมายแพ่งและพาณิชย์	O
มาตรา	O
448	O
วรรคแรก	O
ซึ่งต้องเริ่มนับอายุความตั้งแต่วันที่ผู้ต้องเสียหายรู้ถึงการละเมิดและรู้ตัวผู้จะพึงต้องใช้ค่าสินไหมทดแทนและในกรณ์นิติบุคคลเป็นผู้เสียหายย่อมต้องนับจากวันที่ผู้แทนของนิติบุคคล	O
ได้รู้ดังกล่าว	O
โจทก์เป็นสุขาภิบาลตูมใต้มีนายอำเภอกุมภวาปีเป็นประธานโดยตำแหน่ง	O
ขณะเกิดเหตุจำเลยที่	O
1	O
เป็นนายอำเภอกุมภวาปี	O
สารวัตรใหญ่แจ้งความว่าได้รับคำสั่งให้ดำเนินคดีอาญากับจำเลยทั้งสี่และจำเลยที่	O
1	O
ที่	O
2	O
ได้เข้ามอบตัวในวันเดียวกัน	O
การแจ้งความดังกล่าวมิใช่การแจ้งความของจำเลยที่	O
3	O
ซึ่งเป็นผู้แทนโจทก์	O
และจำเลยที่	O
1	O
ก็ตกเป็นผู้ต้องหาด้วย	O
จะถือว่ารู้ตัวผู้จะต้องรับผิดรายอื่น	O
ๆ	O
ไม่ได้	O
จึงยังถือไม่ได้ว่าเป็นผู้แทนโจทก์รู้ถึงการละเมิดและรู้ตัวผู้ต้องรับผิดอันจะนับอายุความในวันดังกล่าว	O
ต้องถือว่าโจทก์รู้ตัวบุคคลผู้ต้องรับผิดเพื่อละเมิดเกี่ยวกับจำเลยในวันที่นายอำเภอกุมภวาปีคนใหม่รับทราบจากรายงานของคณะกรรมการสอบสวนหาผู้รับผิดชอบทางแพ่งเกี่ยวกับการทุจริตรายนี้	O
เมื่อโจทก์ฟังยังไม่เกิน	O
1	O
ปี	O
คดีจึงไม่ขาดอายุความ	O
ย่อยาว	O
โจทก์ฟ้องว่า	O
จำเลยที่	O
๑	O
ร่วมกับจำเลยที่	O
๔	O
ลงลายมือชื่อในฎีกาเบิกเงินนอกงบประมาณของโจทก์จากคลังจังหวัด	O
๒	O
ครั้ง	O
เป็นเงินรวม	O
๒๖๓	O
,	O
๔๔๓	O
.	O
๘๙	O
บาท	O
โดยจำเลยที่	O
๑	O
มอบฉันทะให้จำเลยที่	O
๔	O
รับเงินโดยลำพัง	O
แล้วจำเลยที่	O
๔	O
ยักยอกเอาเงินดังกล่าวไป	O
การกระทำของจำเลยที่	O
๑	O
และที่	O
๔	O
เป็นการปฏิบัติและละเว้นปฏิบัติหน้าที่โดยมิชอบด้วยกฎหมายระเบียบแบบแผนของทางราชการ	O
ทำให้โจทก์เสียหาย	O
และจำเลยที่	O
๑	O
ถึงที่	O
๓	O
ร่วมกันลงลายมือชื่อในใบเบิกเงิน	O
ขอถอนเงินจากบัญชีเงินฝากของโจทก์ที่ฝากไว้กับธนาคารเป็นเงิน	O
๒๙๔	O
,	O
๐๘๗	O
.	O
๗๔	O
บาท	O
โดยมอบให้จำเลยที่	O
๔	O
รับเงินแทน	O
แล้วจำเลยที่	O
๔	O
เบียดบังยักยอกเอาเงินจำนวนดังกล่าวของโจทก์ไปเป็นประโยชน์ส่วนตัว	O
เป็นการปฏิบัติและละเว้นปฏิบัติตามหน้าที่มิชอบด้วยกฎหมายและระเบียบแบบแผนของทางราชการ	O
ไม่ควบคุมดูแลการรับเงินและส่งเงิน	O
ทำให้โจทก์เสียหาย	O
ขอให้จำเลยที่	O
๑	O
กับที่	O
๔	O
ร่วมกันชำระเงินจำนวนแรกพร้อมดอกเบี้ยและให้จำเลยทั้งสี่ร่วมกันชำระเงินจำนวนหลังพร้อมดอกเบี้ย	O
จำเลยที่	O
๑	O
ถึงที่	O
๓	O
ให้การว่า	O
ในการขอเบิกเงินของโจทก์ทั้งสองคราวดังฟ้อง	O
จำเลยที่	O
๑	O
มีคำสั่งเป็นหนังสือตั้งกรรมการไปรับเงินที่ขอเบิกแต่จำเลยที่	O
๔	O
ไม่ได้แจ้งคำสั่งให้กรรมการแต่ละคนทราบ	O
ทั้งยังทำลายคำสั่งของจำเลยที่	O
๑	O
แล้วนำฎีกาไปขอเบิกเงินโดยพลการ	O
จำเลยที่	O
๑	O
ปฏิบัติหน้าที่ตามขั้นตอนของระเบียบราชการแล้ว	O
มิได้ร่วมกระทำผิดกับจำเลยที่	O
๔	O
จึงไม่ต้องรับผิดร่วมด้วย	O
จำเลยที่	O
๑	O
ถึงที่	O
๓	O
ไม่ได้มอบให้จำเลยที่	O
๔	O
รับเงินของโจทก์จากธนาคารแทนแต่จำเลยที่	O
๔	O
ยักยอกใบถอนเงินที่มีลายมือชื่อจำเลยทั้งสามลงไว้ไปโดยทุจริตแล้วนำไปขอถอนเงินโดยไม่มีอำนาจ	O
จำเลยทั้งสามลงชื่อเป็นผู้ขอเบิกเงินในใบถอนดังกล่าวตามระเบียบเพื่อนำเงินเข้าฝากในบัญชีโจทก์ที่ธนาคารแห่งใหม่	O
จำเลยที่	O
๔	O
มีหน้าที่ดำเนินการให้จำเลยที่	O
๑	O
แต่งตั้งกรรมการไปรับส่งเงินตามระเบียบ	O
แต่หากระทำไม่กลับนำใบขอเบิกเงินนั้นไปเบิกเงินดังกล่าวเข้าบัญชีส่วนตัว	O
จำเลยทั้สามจึงไม่ต้องรับผิดร่วมกับจำเลยที่	O
๔	O
ฟ้องโจทก์ขาดอายุความ	O
ขอให้ยกฟ้อง	O
จำเลยที่	O
๔	O
ขาดนัดยื่นคำให้การและขาดนัดพิจารณา	O
ศาลชั้นต้นพิพากษาให้จำเลยที่	O
๔	O
ชดใช้เงินตามฟ้องแก่โจทก์ให้ยกฟ้องสำหรับจำเลยที่	O
๑	O
ถึงที่	O
๓	O
โจทก์อุทธรณ์	O
ศาลอุทธรณ์พิพากษายืน	O
โจทก์ฎีกา	O
ศาลฎีกาวินิจฉัยว่า	B-verdict
มีประเด็นที่จะวินิจฉัยในชั้นนี้เฉพาะที่เกี่ยวกับจำเลยที่	I-verdict
๑	I-verdict
ถึงที่	I-verdict
๓	I-verdict
ว่า	I-verdict
ฟ้องโจทก์ที่เกี่ยวกับจำเลยที่	I-verdict
๑	I-verdict
ถึงที่	I-verdict
๓	I-verdict
เป็นการฟ้องเรียกค่าสินไหมทดแทนเพื่อละเมิดหรือไม่	I-verdict
และคดีโจทก์ขาดอายุความหรือไม่	I-verdict
เห็นว่าคดีโจทก์ที่เกี่ยวกับจำเลยที่	I-verdict
๑	I-verdict
ถึงที่	I-verdict
๓	I-verdict
นั้นเป็นคดีที่กล่าวหาว่าจำเลยจงใจไม่ปฏิบัติหน้าที่ตามระเบียบแบบแผน	I-verdict
ไม่ควบคุมดูแลการรับเงินและการส่งเงิน	I-verdict
